Sector,Project ID,Parent company,Company Country (HQ),Project Status,Destination Country,Destination city,Year Announced,Year Completed,Technology,Industry activity,Capital Investment (US$m),Expansion,Joint Venture,Joint Venture Local,Joint Venture Company,Source (Parent company name and HQ),Source (Project Status),"Source (Project location, country and city)",Source (Amount),"Source (Ownership share, where available)",Source (Date Announced [MM/DD/YYYY]),Source (Date Completed [MM/DD/YYYY]),Source (Industry Activity),Source (Joint Venture),Operational
Battery,EV1,Toyota,Japan,Operational,United States,Liberty (North Carolina),2021,2025,Battery,Manufacturing,13900,0,0,0,,https://pressroom.toyota.com/toyota-charges-into-u-s-battery-manufacturing/,https://pressroom.toyota.com/toyota-charges-into-u-s-battery-manufacturing/,https://pressroom.toyota.com/toyota-charges-into-u-s-battery-manufacturing/,https://pressroom.toyota.com/toyota-charges-into-u-s-battery-manufacturing/,,https://pressroom.toyota.com/toyota-charges-into-u-s-battery-manufacturing/,https://pressroom.toyota.com/toyota-charges-into-u-s-battery-manufacturing/,https://pressroom.toyota.com/toyota-charges-into-u-s-battery-manufacturing/,,Operational
Battery,Battery 15.1,Hon Hai Technology Group,Taiwan,Announced,Indonesia,Batang (Central Java),2022,N/A,Battery,Manufacturing,8000,0,1,1,"Indonesia Battery Corporation, Indika, and Gogoro",https://www.foxconn.com/en-us/press-center/press-releases/latest-news/734,https://www.foxconn.com/en-us/press-center/press-releases/latest-news/734,https://jakartaglobe.id/business/foxconn-chooses-c-javas-batang-industrial-complex-for-8b-project-in-ev-ecosystem,https://jakartaglobe.id/business/foxconn-chooses-c-javas-batang-industrial-complex-for-8b-project-in-ev-ecosystem,https://www.foxconn.com/en-us/press-center/press-releases/latest-news/734,https://www.foxconn.com/en-us/press-center/press-releases/latest-news/734 01/21/2022,,https://www.foxconn.com/en-us/press-center/press-releases/latest-news/734,https://www.foxconn.com/en-us/press-center/press-releases/latest-news/734,Announced only
Battery,HAR0010,CATL,China,Commenced,Hungary,Debrecen (Hajdú-Bihar),2022,N/A,Battery,Manufacturing,7500,0,0,0,,https://www.catl.com/en/news/983.html,https://www.catl.com/en/news/983.html,https://www.electrive.com/2022/08/12/catl-to-build-battery-factory-in-hungary-with-mercedes-as-major-customer/,https://www.catl.com/en/news/983.html,,https://www.catl.com/en/news/983.html 08/12/2022,https://www.catl.com/en/news/983.html (year only),https://www.catl.com/en/news/983.html,,Under construction
Battery,HAR0038,Gotion,China,Commenced,Morocco,Kenitra (Rabat-Salé-Kénitra),2024,N/A,Battery,Manufacturing,6500,0,0,0,,https://www.moroccoworldnews.com/2024/11/12493/cdg-gotion-high-tech-sign-agreement-for-1-3-billion-electric-battery-gigafactory-in-kenitra/,https://www.moroccoworldnews.com/2025/05/202536/gotion-gigafactory-construction-launches-within-days-in-kenitra/,https://www.moroccoworldnews.com/2024/11/12493/cdg-gotion-high-tech-sign-agreement-for-1-3-billion-electric-battery-gigafactory-in-kenitra/,https://www.just-auto.com/news/gotion-morocco-gigafactory-report/,,https://www.moroccoworldnews.com/2024/11/12493/cdg-gotion-high-tech-sign-agreement-for-1-3-billion-electric-battery-gigafactory-in-kenitra/ 11/13/2024,https://www.moroccoworldnews.com/2025/05/202536/gotion-gigafactory-construction-launches-within-days-in-kenitra/ (year only),https://www.moroccoworldnews.com/2024/06/18726/morocco-to-build-1-3-billion-electric-battery-gigafactory-in-kenitra/,,Under construction
Battery,HAR0011,CATL,China,Commenced,Indonesia,Karawang (West Java),2022,N/A,Battery,Manufacturing,6000,0,1,1,"PT Aneka Tambang Tbk (ANTAM), Indonesia Battery Corporation (IBC)",https://www.catl.com/en/news/6481.html,https://en.antaranews.com/news/362733/prabowo-breaks-ground-for-ev-battery-plant-construction-in-karawang,https://en.antaranews.com/news/362733/prabowo-breaks-ground-for-ev-battery-plant-construction-in-karawang,https://www.catl.com/en/news/6481.html,https://www.catl.com/en/news/6481.html,https://www.catl.com/en/news/6481.html (year only),https://www.catl.com/en/news/6481.html (year only),https://www.catl.com/en/news/6481.html,https://www.catl.com/en/news/6481.html,Under construction
Battery,HAR0047,Huayou Cobalt,China,Announced,Indonesia,Halmahera (North Maluku),2026,N/A,Battery,Manufacturing,6000,0,1,1,"ANTAM, IBC (local); EVE Energy",https://autonews.gasgoo.com/articles/market-industry/eve-energy-deepens-southeast-asia-push-with-indonesia-battery-ecosystem-pact-2018569023271051265,https://autonews.gasgoo.com/articles/market-industry/eve-energy-deepens-southeast-asia-push-with-indonesia-battery-ecosystem-pact-2018569023271051265,https://www.indonesiaminer.com/news/detail/antam-ibc-and-huayou-partner-to-strengthen-nickel-downstreaming-and-build-indonesias-integrated-battery-ecosystem,https://www.antam.com/en/news-and-events/antam-ibc-and-huayou-strengthen-national-integrated-battery-ecosystem-through-global-strategic-collaboration,https://voi.id/en/economy/555155,https://autonews.gasgoo.com/articles/market-industry/eve-energy-deepens-southeast-asia-push-with-indonesia-battery-ecosystem-pact-2018569023271051265 (year only),https://autonews.gasgoo.com/articles/market-industry/eve-energy-deepens-southeast-asia-push-with-indonesia-battery-ecosystem-pact-2018569023271051265 (year only),https://autonews.gasgoo.com/articles/market-industry/eve-energy-deepens-southeast-asia-push-with-indonesia-battery-ecosystem-pact-2018569023271051265,https://voi.id/en/economy/555155,Announced only
Battery,New_NingboRonbayNewEne_ID1,"Ningbo Ronbay New Energy Technology Co., Ltd.",China,Under Construction,Indonesia,Morowali (Central Sulawesi),2025,N/A,Battery,Manufacturing,6000,0,1,1,"CALT, ANTAM, IBC",https://www.catl.com/en/news/6481.html,https://www.enlit-asia.com/latest-news/catl-partners-break-ground-6-billion-battery-integration-project-indonesia,https://www.enlit-asia.com/latest-news/catl-partners-break-ground-6-billion-battery-integration-project-indonesia,https://www.catl.com/en/news/6481.html,https://www.catl.com/en/news/6481.html,https://www.catl.com/en/news/6481.html,https://cnevpost.com/2024/01/26/byd-launches-production-uzbekistan-plant/,https://www.enlit-asia.com/latest-news/catl-partners-break-ground-6-billion-battery-integration-project-indonesia,https://www.catl.com/en/news/6481.html,Under construction
Battery,Battery10.5,SK Innovation (SK Energy),South Korea,Commenced,United States,Glendale (Kentucky),2021,N/A,Battery,Manufacturing,5800,0,1,1,Ford Motor,https://corporate.ford.com/articles/electrification/blue-oval-city/,https://www.kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=2561,https://www.kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=2561,https://www.kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=2561,https://www.blueovalsk.com/,https://corporate.ford.com/articles/electrification/blue-oval-city/ 09/27/2021,,https://corporate.ford.com/articles/electrification/blue-oval-city/,https://www.blueovalsk.com/,Under construction
Battery,New_LGES_AZ1,LG,South Korea,Under Construction,United States,Queen Creek (Arizona),2023,2026,Battery,Manufacturing,5500,0,0,0,,https://news.lgensol.com/company-news/press-releases/2592/,https://news.lgensol.com/company-news/press-releases/2592/,https://news.lgensol.com/company-news/press-releases/2592/,https://news.lgensol.com/company-news/press-releases/2592/,https://news.lgensol.com/company-news/press-releases/2592/ (100% LG Energy Solution),https://news.lgensol.com/company-news/press-releases/2592/,https://news.lgensol.com/company-news/press-releases/2592/ (year only),https://news.lgensol.com/company-news/press-releases/2592/,,Under construction
Battery,New_Agratas_GB1,Agratas,India,Under Construction,United Kingdom,Somerset,2023,2026,Battery,Manufacturing,5200,0,1,0,AESC Group (Envision) – 12% stake in Agratas; Tata Sons 88% (acquired Mar 2025),https://www.fleetnews.co.uk/news/manufacturer-news/2023/07/19/jlr-owner-to-build-4bn-electric-vehicle-battery-factory-in-the-uk,https://agratas.com/news/new-footage-shows-impressive-progress-at-our-somerset-battery-facility,https://www.automotivelogistics.media/battery-supply-chain/tatas-agratas-confirms-location-of-uk-gigafactory-for-anchor-client-jlr/45302.article,https://www.automotivelogistics.media/ev-and-battery/tatas-agratas-confirms-location-of-uk-gigafactory-for-anchor-client-jlr/188713,https://www.evmechanica.com/chinese-owned-aesc-acquires-12-stake-in-tatas-agratas/,https://www.fleetnews.co.uk/news/manufacturer-news/2023/07/19/jlr-owner-to-build-4bn-electric-vehicle-battery-factory-in-the-uk,https://www.agratas.com/news/new-footage-shows-impressive-progress-at-our-somerset-battery-facility,https://www.automotivelogistics.media/battery-supply-chain/tatas-agratas-confirms-location-of-uk-gigafactory-for-anchor-client-jlr/45302.article,https://www.evmechanica.com/chinese-owned-aesc-acquires-12-stake-in-tatas-agratas/,Under construction
